year,exporter,flow,importer,resource,weight (kg),value (US$),exporterISO,importerISO,exporter continent,importer continent
2024,Guyana,Export,Spain,Oil,2007323120.0,746146965.967,GUY,ESP,South America,Europe
2024,Guyana,Export,Eswatini,Oil,2000000000.0,171546904.488,GUY,SWZ,South America,Africa
2024,Guyana,Export,Sweden,Oil,9054000.0,693528817.662,GUY,SWE,South America,Europe
2024,Guyana,Export,Türkiye,Oil,3000000.0,230218942.66,GUY,TUR,South America,Asia
2024,Guyana,Export,United Kingdom,Oil,2308166818.0,3123154346.633,GUY,GBR,South America,Europe
2024,Guyana,Export,USA,Oil,38463741.0,3133051175.407,GUY,USA,South America,North America
2024,Greece,Export,Bulgaria,Gas,129030.0,116382.959,GRC,BGR,Europe,Europe
2024,Greece,Export,Chile,Gas,19.0,63.86,GRC,CHL,Europe,South America
2024,Greece,Export,Croatia,Gas,17700.0,15367.638,GRC,HRV,Europe,Europe
2024,Greece,Export,Montenegro,Gas,268015.0,227339.945,GRC,MNE,Europe,Europe
2024,Greece,Export,Serbia,Gas,502195.0,411819.788,GRC,SRB,Europe,Europe
2024,Greece,Export,Slovakia,Gas,109230.0,123210.615,GRC,SVK,Europe,Europe
2024,Greece,Export,North Macedonia,Gas,2716492.0,2023394.455,GRC,MKD,Europe,Europe
2024,Guyana,Export,Barbados,Gas,114780.0,74515.684,GUY,BRB,South America,North America
2024,Guyana,Export,Dominican Rep.,Gas,114040.0,89352.753,GUY,DOM,South America,North America
2024,Guyana,Export,USA,Gas,488.0,95.281,GUY,USA,South America,North America
2024,Israel,Export,Netherlands,Coal,17590.84,7000.0,ISR,NLD,Asia,Europe
2024,Japan,Export,Indonesia,Coal,2227000.0,1104869.388,JPN,IDN,Asia,Asia
2024,Japan,Export,Malaysia,Coal,3265.947,9434.068,JPN,MYS,Asia,Asia
2024,Japan,Export,Philippines,Coal,2000.0,4327.251,JPN,PHL,Asia,Asia
2024,Japan,Export,Saudi Arabia,Coal,11000.0,34611.401,JPN,SAU,Asia,Asia
2024,Japan,Export,Viet Nam,Coal,62000.0,53017.082,JPN,VNM,Asia,Asia
2024,Japan,Export,Thailand,Coal,156000.0,67207.823,JPN,THA,Asia,Asia
