Year,Price,Country,Fuel,countryISO
2017,467.47,Austria,Petrol,AUT
2017,466.64,Austria,Petrol,AUT
2017,459.97,Austria,Petrol,AUT
2017,461.64,Austria,Petrol,AUT
2017,459.97,Austria,Petrol,AUT
2017,463.31,Austria,Petrol,AUT
2017,459.14,Austria,Petrol,AUT
2017,469.14,Austria,Petrol,AUT
2017,469.97,Austria,Petrol,AUT
2017,470.81,Austria,Petrol,AUT
2017,474.97,Austria,Petrol,AUT
2017,484.14,Austria,Petrol,AUT
2017,484.14,Austria,Petrol,AUT
2017,483.31,Austria,Petrol,AUT
2017,484.14,Austria,Petrol,AUT
2017,498.31,Austria,Petrol,AUT
2017,506.64,Austria,Petrol,AUT
2017,501.64,Austria,Petrol,AUT
2017,477.47,Austria,Petrol,AUT
2017,459.97,Austria,Petrol,AUT
2017,465.81,Austria,Petrol,AUT
2017,492.47,Austria,Petrol,AUT
2017,509.14,Austria,Petrol,AUT
2017,516.64,Austria,Petrol,AUT
2017,511.64,Austria,Petrol,AUT
2017,502.47,Austria,Petrol,AUT
2017,498.31,Austria,Petrol,AUT
2017,491.64,Austria,Petrol,AUT
2017,497.47,Austria,Petrol,AUT
2017,499.97,Austria,Petrol,AUT
2017,501.64,Austria,Petrol,AUT
2017,501.64,Austria,Petrol,AUT
2025,747.65,Belgium,Petrol,BEL
2025,743.58,Belgium,Petrol,BEL
2025,762.36,Belgium,Petrol,BEL
2025,726.15,Belgium,Petrol,BEL
2025,710.29,Belgium,Petrol,BEL
2025,734.4,Belgium,Petrol,BEL
2025,727.57,Belgium,Petrol,BEL
2025,716.56,Belgium,Petrol,BEL
2025,710.2,Belgium,Petrol,BEL
2024,719.82,Belgium,Petrol,BEL
2024,714.79,Belgium,Petrol,BEL
2024,688.04,Belgium,Petrol,BEL
2024,721.35,Belgium,Petrol,BEL
2024,704.78,Belgium,Petrol,BEL
2024,706.65,Belgium,Petrol,BEL
2024,680.91,Belgium,Petrol,BEL
2024,669.26,Belgium,Petrol,BEL
2024,691.67,Belgium,Petrol,BEL
2024,702.77,Belgium,Petrol,BEL
2024,713.39,Belgium,Petrol,BEL
2024,710.04,Belgium,Petrol,BEL
2024,679.46,Belgium,Petrol,BEL
2024,731.2,Belgium,Petrol,BEL
2024,694.41,Belgium,Petrol,BEL
2024,662.31,Belgium,Petrol,BEL
2024,683.22,Belgium,Petrol,BEL
2024,745.25,Belgium,Petrol,BEL
2024,725.79,Belgium,Petrol,BEL
2024,753.77,Belgium,Petrol,BEL
2024,728.39,Belgium,Petrol,BEL
2024,750.99,Belgium,Petrol,BEL
2024,812.44,Belgium,Petrol,BEL
2024,780.88,Belgium,Petrol,BEL
2024,796.2,Belgium,Petrol,BEL
2024,787.34,Belgium,Petrol,BEL
2024,786.56,Belgium,Petrol,BEL
2024,770.46,Belgium,Petrol,BEL
2024,802.99,Belgium,Petrol,BEL
2024,730.49,Belgium,Petrol,BEL
2024,783.2,Belgium,Petrol,BEL
2024,796.59,Belgium,Petrol,BEL
2024,847.24,Belgium,Petrol,BEL
2024,856.25,Belgium,Petrol,BEL
2024,847.92,Belgium,Petrol,BEL
2024,849.65,Belgium,Petrol,BEL
2024,866.41,Belgium,Petrol,BEL
2024,849.67,Belgium,Petrol,BEL
2024,823.81,Belgium,Petrol,BEL
2024,818.03,Belgium,Petrol,BEL
2024,790.53,Belgium,Petrol,BEL
2024,773.83,Belgium,Petrol,BEL
2024,798.65,Belgium,Petrol,BEL
2024,767.59,Belgium,Petrol,BEL
2024,791.39,Belgium,Petrol,BEL
2024,759.02,Belgium,Petrol,BEL
2024,747.81,Belgium,Petrol,BEL
2024,738.42,Belgium,Petrol,BEL
2024,721.42,Belgium,Petrol,BEL
2024,693.58,Belgium,Petrol,BEL
2024,701.03,Belgium,Petrol,BEL
2024,708.98,Belgium,Petrol,BEL
2024,716.31,Belgium,Petrol,BEL
2023,726.17,Belgium,Petrol,BEL
2023,724.25,Belgium,Petrol,BEL
2023,740.19,Belgium,Petrol,BEL
2023,748.05,Belgium,Petrol,BEL
2023,759.32,Belgium,Petrol,BEL
2023,781.79,Belgium,Petrol,BEL
2023,798.24,Belgium,Petrol,BEL
2023,810.83,Belgium,Petrol,BEL
2023,808.36,Belgium,Petrol,BEL
2023,814.01,Belgium,Petrol,BEL
2023,808.46,Belgium,Petrol,BEL
2023,860.73,Belgium,Petrol,BEL
2023,906.95,Belgium,Petrol,BEL
2023,926.29,Belgium,Petrol,BEL
2023,890.99,Belgium,Petrol,BEL
2023,938.24,Belgium,Petrol,BEL
2023,901.68,Belgium,Petrol,BEL
2023,899.21,Belgium,Petrol,BEL
2023,875.1,Belgium,Petrol,BEL
2023,920.82,Belgium,Petrol,BEL
2023,886.34,Belgium,Petrol,BEL
2023,866.84,Belgium,Petrol,BEL
2023,811.68,Belgium,Petrol,BEL
2023,810.45,Belgium,Petrol,BEL
2023,833.14,Belgium,Petrol,BEL
2023,813.23,Belgium,Petrol,BEL
2023,811.38,Belgium,Petrol,BEL
2023,815.59,Belgium,Petrol,BEL
2023,854.44,Belgium,Petrol,BEL
2023,829.34,Belgium,Petrol,BEL
2023,815.38,Belgium,Petrol,BEL
2023,788.86,Belgium,Petrol,BEL
2023,802.81,Belgium,Petrol,BEL
2023,807.78,Belgium,Petrol,BEL
2023,814.42,Belgium,Petrol,BEL
2023,841.96,Belgium,Petrol,BEL
2023,873.7,Belgium,Petrol,BEL
2023,856.81,Belgium,Petrol,BEL
2023,797.35,Belgium,Petrol,BEL
2023,773.08,Belgium,Petrol,BEL
2023,816.69,Belgium,Petrol,BEL
2023,831.61,Belgium,Petrol,BEL
2023,801.91,Belgium,Petrol,BEL
2023,814.69,Belgium,Petrol,BEL
2023,816.1,Belgium,Petrol,BEL
2023,802.33,Belgium,Petrol,BEL
2023,825.22,Belgium,Petrol,BEL
2023,828.25,Belgium,Petrol,BEL
2023,798.16,Belgium,Petrol,BEL
2023,772.51,Belgium,Petrol,BEL
2023,798.17,Belgium,Petrol,BEL
2023,794.05,Belgium,Petrol,BEL
2022,750.54,Belgium,Petrol,BEL
2022,739.82,Belgium,Petrol,BEL
2022,793.76,Belgium,Petrol,BEL
2022,814.86,Belgium,Petrol,BEL
2022,849.59,Belgium,Petrol,BEL
2022,914.35,Belgium,Petrol,BEL
2022,999.8,Belgium,Petrol,BEL
2022,962.13,Belgium,Petrol,BEL
2022,956.5,Belgium,Petrol,BEL
2022,978.84,Belgium,Petrol,BEL
2022,983.85,Belgium,Petrol,BEL
2022,936.69,Belgium,Petrol,BEL
2022,898.05,Belgium,Petrol,BEL
2022,907.67,Belgium,Petrol,BEL
2022,895.87,Belgium,Petrol,BEL
2022,878.91,Belgium,Petrol,BEL
2022,939.99,Belgium,Petrol,BEL
2022,977.11,Belgium,Petrol,BEL
2022,965.06,Belgium,Petrol,BEL
2022,983.92,Belgium,Petrol,BEL
2022,1015.53,Belgium,Petrol,BEL
2022,1070.6,Belgium,Petrol,BEL
2022,1094.29,Belgium,Petrol,BEL
2022,1123.18,Belgium,Petrol,BEL
2022,1189.67,Belgium,Petrol,BEL
2022,1202.68,Belgium,Petrol,BEL
2022,1232.89,Belgium,Petrol,BEL
2022,1288.96,Belgium,Petrol,BEL
2022,1285.83,Belgium,Petrol,BEL
2022,1216.68,Belgium,Petrol,BEL
2022,1153.87,Belgium,Petrol,BEL
2022,1170.73,Belgium,Petrol,BEL
2022,1136.05,Belgium,Petrol,BEL
2022,1094.54,Belgium,Petrol,BEL
2022,1049.87,Belgium,Petrol,BEL
2022,1001.73,Belgium,Petrol,BEL
2022,1021.56,Belgium,Petrol,BEL
2022,1038.36,Belgium,Petrol,BEL
2022,999.15,Belgium,Petrol,BEL
2022,993.31,Belgium,Petrol,BEL
2022,1011.93,Belgium,Petrol,BEL
2022,897.11,Belgium,Petrol,BEL
2022,833.6,Belgium,Petrol,BEL
2022,805.63,Belgium,Petrol,BEL
2022,792.07,Belgium,Petrol,BEL
2022,782.69,Belgium,Petrol,BEL
2022,769.15,Belgium,Petrol,BEL
2022,762.05,Belgium,Petrol,BEL
2022,743.11,Belgium,Petrol,BEL
2022,760.86,Belgium,Petrol,BEL
2022,755.21,Belgium,Petrol,BEL
2021,734.64,Belgium,Petrol,BEL
2021,690.21,Belgium,Petrol,BEL
2021,707.09,Belgium,Petrol,BEL
2021,756.58,Belgium,Petrol,BEL
2021,819.29,Belgium,Petrol,BEL
2021,793.43,Belgium,Petrol,BEL
2021,782.56,Belgium,Petrol,BEL
2021,758.54,Belgium,Petrol,BEL
2021,746.4,Belgium,Petrol,BEL
2021,740.15,Belgium,Petrol,BEL
2021,696.19,Belgium,Petrol,BEL
2021,675.69,Belgium,Petrol,BEL
2021,658.16,Belgium,Petrol,BEL
2021,669.23,Belgium,Petrol,BEL
2021,648.79,Belgium,Petrol,BEL
2021,648.46,Belgium,Petrol,BEL
2021,638.95,Belgium,Petrol,BEL
2021,667.05,Belgium,Petrol,BEL
2021,642.78,Belgium,Petrol,BEL
2021,651.41,Belgium,Petrol,BEL
2021,658.93,Belgium,Petrol,BEL
